PartNo,pollingStation,NTKVotes2019,TotalVotes,PolledVotes,NTKpercentage,BoothAdress,Panchayat,UnionBlocks,Hamlets,Male,Female,TotalVotes,ThirdGender,MainTownOrVillage ,Mandalam ,Birga ,PoliceStation,Taluk ,District,Pincode,PageNo ,Thoguthi ,Status ,OverlapPartNo ,Scope 
210-01,"ஊராட்சி ஒன்றிய நடுநிலை பள்ளி, மேற்கு பக்கம், புதிய கட்டிடம்,ஆதங்குடி  ",26,536,310,8.4, ,நெய்வயல் ,திருவாடனை ,"ஆதங்குடி வார்டு 3
நெட்டேந்தல் வார்டு 3",256,280,536,,ஆதங்குடி ,,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,630312,22,210,,,
210-02,"ஊராட்சி ஒன்றிய தொடக்க பள்ளி , நெய்வயல் ",32,1081,703,4.6,,நெய்வயல் ,திருவாடனை ,"நெய்வயல் வார்டு 1
நச்சியேந்தல் வார்டு 2
அன்னிக்கி வார்டு 2
வலயன்வயல் வார்டு 2",574,504,1078,,நெய்வயல் ,,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,630312,42,210,,,
210-03,"ஊராட்சி ஒன்றிய நடுநிலை பள்ளி , இலுப்பக்குடி ",25,634,385,6.5,,நெய்வயல் ,திருவாடனை ,"இலுப்பக்குடி 
மணப்புஞ்சை 
சீர்தாங்கி 
வீராப்புலி 
மடத்தேந்தல் ",343,290,633,,நெய்வயல் ,,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,630312,26,210,,,
210-04,நூலக கட்டிடம் கருமொழி ,26,744,470,5.5,,கருமொழி சானான் ,திருவாடனை ,கருமொழி சானான் வயல் வார்டு 1,386,358,744,,கருமொழி,டி.நாகினி ,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,630312,29,210,,,
210-05,"ஊராட்சி ஒன்றிய தொடக்க பள்ளி, கோவனி ",15,612,425,3.5,,கருமொழி சானான் ,திருவாடனை ,ஆத்தூர்கோவணி வார்டு 2,303,309,612,,கருமொழி,டி.நாகினி ,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,630312,23,210,,,
210-06,"ஊராட்சி ஒன்றிய நடுநிலை பள்ளி, பழங்குளம் ",28,834,448,6.3,கிழக்கு பகுதி ,பழங்குளம் ,திருவாடனை ,"பழங்குளம் வார்டு 3
மேலணை வார்டு 4
பஞ்சமாரி வார்டு 5
கீழப்புளி வார்டு 6
கீழப்புளி வார்டு 6
",422,411,833,,பழங்குளம்,பழங்குளம்,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,32,210,,,
210-07,"ஊராட்சி ஒன்றிய நடுநிலை பள்ளி, பழங்குளம் ",11,561,372,3,தெற்கு பகுதி ,பழங்குளம் ,திருவாடனை ,"ஏரணிக்கோட்டை வார்டு 2
மாணிக்கங்கோட்டை வார்டு 1
ஊரணிக்கோட்டை வார்டு 2
",276,285,561,,ஊரணிக்கோட்டை,பழங்குளம்,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,23,210,,,
210-08,ஊராட்சி ஒன்றிய தொடக்க பள்ளி கடம்பூர் ,0,584,5,0,,கடம்பூர் ,திருவாடனை , கடம்பூர் வார்டு 1,314,270,584,,கடம்பூர்,கடம்பூர்,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,23,210,,,
210-09,ஊராட்சி ஒன்றிய தொடக்க பள்ளி குறுந்தங்குடி,33,777,485,6.8,,கடம்பூர் ,திருவாடனை ,"குறுந்தங்குடி வார்டு 2
குணங்குடி வார்டு 2
சிறுகாரை வார்டு 4
மருதாந்தை வார்டு 4",394,383,777,,கடம்பூர்,கடம்பூர்,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,30,210,,,
210-10,"ஊராட்சி ஒன்றிய ஆரம்ப பள்ளி கட்டவிளாகம், மேற்கு பகுதி , ",0,657,3,0,,கட்டவிளாகம்,திருவாடனை ,கட்டவிளாகம் வார்டு 3,353,304,657,,கட்டவிளாகம்,கட்டவிளாகம்,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,25,210,,,
210-11,ஊராட்சி ஒன்றிய ஆரம்ப பள்ளி கள்ளவழியேந்தல் ,0,756,5,0,,கட்டவிளாகம்,திருவாடனை ,"இலுப்பக்குடி வார்டு 3
ருத்திரன்பட்டி வார்டு 3
கீழ்குடி வார்டு 3
கள்ளவழியேந்தல் வார்டு 3",384,371,756,1,கட்டவிளாகம்,கட்டவிளாகம்,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,30,210,,,
210-12,ஊராட்சி ஒன்றிய தொடக்க பள்ளி நீர்குன்றம் ,28,535,351,8,வடக்கு பகுதி மேற்கு பக்கம் ,கூகுடி ,திருவாடனை ,"வேலாவயல் வார்டு 3
விசும்பூர் வார்டு 3
தாதன்வயல் வார்டு 3
",283,252,535,,ஆண்டாவூரணி ,நீர்குன்றம் ,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,23,210,,,
210-13,ஊராட்சி ஒன்றிய தொடக்க பள்ளி நீர்குன்றம் ,14,721,405,3.5,வடக்கு பகுதி கிழக்கு பக்கம் ,கூகுடி ,திருவாடனை ,"நீர்குன்றம்  வார்டு 4
கூகுடி  வார்டு 4",390,331,721,,ஆண்டாவூரணி ,நீர்குன்றம் ,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,28,210,,,
